Position,PlayerName,Team,Opponent,Salary,PPG
RB,Darren Sproles,Saints,Dolphins,10850,12.9
FLEX,Darren Sproles,Saints,Dolphins,10850,12.9
RB,Pierre Thomas,Saints,Dolphins,7200,10.5
FLEX,Pierre Thomas,Saints,Dolphins,7200,10.5
RB,Ahmad Bradshaw,Colts,Jaguars,6550,13.9
FLEX,Ahmad Bradshaw,Colts,Jaguars,6550,13.9
RB,Brandon Jacobs,Giants,Chiefs,5000,3.3
FLEX,Brandon Jacobs,Giants,Chiefs,5000,3.3
RB,Da'Rel Scott,Giants,Chiefs,6300,9.3
FLEX,Da'Rel Scott,Giants,Chiefs,6300,9.3
RB,Bilal Powell,Jets,Titans,9600,14.4
FLEX,Bilal Powell,Jets,Titans,9600,14.4
RB,Ronnie Brown,Chargers,Cowboys,5550,5.5
FLEX,Ronnie Brown,Chargers,Cowboys,5550,5.5
RB,LeSean McCoy,Eagles,Broncos,18500,23.1
FLEX,LeSean McCoy,Eagles,Broncos,18500,23.1
RB,Alfonso Smith,Cardinals,Buccaneers,5000,4.9
FLEX,Alfonso Smith,Cardinals,Buccaneers,5000,4.9
RB,Jonathan Dwyer,Steelers,Vikings,5000,3.0
FLEX,Jonathan Dwyer,Steelers,Vikings,5000,3.0
RB,Rashard Mendenhall,Cardinals,Buccaneers,7800,10.0
FLEX,Rashard Mendenhall,Cardinals,Buccaneers,7800,10.0
RB,Ryan Mathews,Chargers,Cowboys,6700,8.6
FLEX,Ryan Mathews,Chargers,Cowboys,6700,8.6
RB,Jordan Todman,Jaguars,Colts,5000,4.1
FLEX,Jordan Todman,Jaguars,Colts,5000,4.1
RB,Marshawn Lynch,Seahawks,Texans,14650,16.2
FLEX,Marshawn Lynch,Seahawks,Texans,14650,16.2
RB,LeGarrette Blount,Patriots,Falcons,5000,3.0
FLEX,LeGarrette Blount,Patriots,Falcons,5000,3.0
RB,Maurice Jones-Drew,Jaguars,Colts,9350,7.5
FLEX,Maurice Jones-Drew,Jaguars,Colts,9350,7.5
RB,Ray Rice,Ravens,Bills,13050,13.3
FLEX,Ray Rice,Ravens,Bills,13050,13.3
RB,Arian Foster,Texans,Seahawks,11600,12.9
FLEX,Arian Foster,Texans,Seahawks,11600,12.9
RB,Chris Ogbonnaya,Browns,Bengals,5000,5.2
FLEX,Chris Ogbonnaya,Browns,Bengals,5000,5.2
RB,Ben Tate,Texans,Seahawks,6550,9.5
FLEX,Ben Tate,Texans,Seahawks,6550,9.5
RB,Trent Richardson,Colts,Jaguars,13450,10.7
FLEX,Trent Richardson,Colts,Jaguars,13450,10.7
RB,David Wilson,Giants,Chiefs,7400,1.2
