Position,PlayerName,Team,Opponent,Salary,PPG
RB,Ryan Mathews,Chargers,Cowboys,6700,8.6
RB,Ryan Mathews,Chargers,Cowboys,6700,8.6
RB,Jordan Todman,Jaguars,Colts,5000,4.1
RB,Jordan Todman,Jaguars,Colts,5000,4.1
RB,Marshawn Lynch,Seahawks,Texans,14650,16.2
RB,Marshawn Lynch,Seahawks,Texans,14650,16.2
RB,LeGarrette Blount,Patriots,Falcons,5000,3.0
RB,LeGarrette Blount,Patriots,Falcons,5000,3.0
RB,Maurice Jones-Drew,Jaguars,Colts,9350,7.5
RB,Maurice Jones-Drew,Jaguars,Colts,9350,7.5
RB,Ray Rice,Ravens,Bills,13050,13.3
RB,Ray Rice,Ravens,Bills,13050,13.3
RB,Arian Foster,Texans,Seahawks,11600,12.9
RB,Arian Foster,Texans,Seahawks,11600,12.9
RB,Chris Ogbonnaya,Browns,Bengals,5000,5.2
RB,Chris Ogbonnaya,Browns,Bengals,5000,5.2
RB,Ben Tate,Texans,Seahawks,6550,9.5
RB,Ben Tate,Texans,Seahawks,6550,9.5
RB,Trent Richardson,Colts,Jaguars,13450,10.7
RB,Trent Richardson,Colts,Jaguars,13450,10.7
RB,David Wilson,Giants,Chiefs,7400,1.2
RB,David Wilson,Giants,Chiefs,7400,1.2
RB,Doug Martin,Buccaneers,Cardinals,14450,13.2
RB,Doug Martin,Buccaneers,Cardinals,14450,13.2
RB,Ronnie Hillman,Broncos,Eagles,8650,7.1
RB,Ronnie Hillman,Broncos,Eagles,8650,7.1
RB,Bernard Pierce,Ravens,Bills,10250,10.0
RB,Bernard Pierce,Ravens,Bills,10250,10.0
RB,Lamar Miller,Dolphins,Saints,8100,8.3
RB,Lamar Miller,Dolphins,Saints,8100,8.3
RB,Alfred Morris,Redskins,Raiders,12350,12.6
RB,Alfred Morris,Redskins,Raiders,12350,12.6
RB,Bryce Brown,Eagles,Broncos,5000,1.9
RB,Bryce Brown,Eagles,Broncos,5000,1.9
RB,Brandon Bolden,Patriots,Falcons,6700,15.0
RB,Brandon Bolden,Patriots,Falcons,6700,15.0
RB,Bobby Rainey,Browns,Bengals,5000,1.0
RB,Bobby Rainey,Browns,Bengals,5000,1.0
RB,Giovani Bernard,Bengals,Browns,10550,14.5
RB,Giovani Bernard,Bengals,Browns,10550,14.5
RB,Le'Veon Bell,Steelers,Vikings,8500,0.0
RB,Le'Veon Bell,Steelers,Vikings,8500,0.0
RB,Montee Ball,Broncos,Eagles,9600,3.5
RB,Montee Ball,Broncos,Eagles,9600,3.5
RB,Andre Ellington,Cardinals,Buccaneers,5000,8.3
RB,Andre Ellington,Cardinals,Buccaneers,5000,8.3
WR,Harry Douglas,Falcons,Patriots,5750,7.2
WR,Harry Douglas,Falcons,Patriots,5750,7.2
WR,Julio Jones,Falcons,Patriots,17400,25.0
WR,Julio Jones,Falcons,Patriots,17400,25.0
WR,Roddy White,Falcons,Patriots,7600,4.2
WR,Roddy White,Falcons,Patriots,7600,4.2
WR,Stevie Johnson,Bills,Ravens,11200,18.2
WR,Stevie Johnson,Bills,Ravens,11200,18.2
WR,Earl Bennett,Bears,Lions,5000,5.2
WR,Earl Bennett,Bears,Lions,5000,5.2
WR,A.J. Green,Bengals,Browns,14500,20.6
WR,A.J. Green,Bengals,Browns,14500,20.6
WR,Jerome Simpson,Vikings,Steelers,5950,11.3
WR,Jerome Simpson,Vikings,Steelers,5950,11.3
WR,Greg Little,Browns,Bengals,7000,6.3
WR,Greg Little,Browns,Bengals,7000,6.3
WR,Miles Austin,Cowboys,Chargers,7650,9.2
WR,Miles Austin,Cowboys,Chargers,7650,9.2
WR,Dez Bryant,Cowboys,Chargers,15200,16.4
WR,Dez Bryant,Cowboys,Chargers,15200,16.4
WR,Kevin Ogletree,Buccaneers,Cardinals,5550,4.3
WR,Kevin Ogletree,Buccaneers,Cardinals,5550,4.3
WR,Eric Decker,Broncos,Eagles,9750,16.7
WR,Eric Decker,Broncos,Eagles,9750,16.7
WR,Eddie Royal,Chargers,Cowboys,7750,18.9
WR,Eddie Royal,Chargers,Cowboys,7750,18.9
WR,Demaryius Thomas,Broncos,Eagles,15250,20.9
WR,Demaryius Thomas,Broncos,Eagles,15250,20.9
WR,Nate Burleson,Lions,Bears,7550,14.0
WR,Nate Burleson,Lions,Bears,7550,14.0
WR,Calvin Johnson,Lions,Bears,18450,20.6
WR,Calvin Johnson,Lions,Bears,18450,20.6
WR,Greg Jennings,Vikings,Steelers,7450,9.0
WR,Greg Jennings,Vikings,Steelers,7450,9.0
WR,Kenny Britt,Titans,Jets,5800,3.1
WR,Kenny Britt,Titans,Jets,5800,3.1
WR,Nate Washington,Titans,Jets,6800,12.6
WR,Nate Washington,Titans,Jets,6800,12.6
WR,Pierre Garcon,Redskins,Raiders,13900,19.3
WR,Pierre Garcon,Redskins,Raiders,13900,19.3
WR,Reggie Wayne,Colts,Jaguars,12200,14.5
WR,Reggie Wayne,Colts,Jaguars,12200,14.5
WR,Dwayne Bowe,Chiefs,Giants,9050,8.0
WR,Dwayne Bowe,Chiefs,Giants,9050,8.0
WR,Jacoby Ford,Raiders,Redskins,5500,2.4
WR,Jacoby Ford,Raiders,Redskins,5500,2.4
WR,Darrius Heyward-Bey,Colts,Jaguars,6500,6.7
WR,Darrius Heyward-Bey,Colts,Jaguars,6500,6.7
WR,Denarius Moore,Raiders,Redskins,7800,13.2
WR,Denarius Moore,Raiders,Redskins,7800,13.2
WR,Danny Amendola,Patriots,Falcons,13450,20.4
WR,Danny Amendola,Patriots,Falcons,13450,20.4
WR,Donnie Avery,Chiefs,Giants,6500,12.1
WR,Donnie Avery,Chiefs,Giants,6500,12.1
WR,Brandon Gibson,Dolphins,Saints,5550,9.2
WR,Brandon Gibson,Dolphins,Saints,5550,9.2
WR,Davone Bess,Browns,Bengals,6300,10.7
